Date,Zip,HomeIndex
3/31/2003,85705,99200
4/30/2003,85705,99864
5/31/2003,85705,100611
6/30/2003,85705,101627
7/31/2003,85705,102482
8/31/2003,85705,103535
9/30/2003,85705,104301
10/31/2003,85705,104977
11/30/2003,85705,105447
12/31/2003,85705,105887
1/31/2004,85705,106563
2/29/2004,85705,107426
3/31/2004,85705,108221
4/30/2004,85705,109016
5/31/2004,85705,110311
6/30/2004,85705,112228
7/31/2004,85705,114259
8/31/2004,85705,115927
9/30/2004,85705,117727
10/31/2004,85705,119691
11/30/2004,85705,121630
12/31/2004,85705,123272
1/31/2005,85705,124822
2/28/2005,85705,126670
3/31/2005,85705,129140
4/30/2005,85705,132673
5/31/2005,85705,136970
6/30/2005,85705,141538
7/31/2005,85705,146733
8/31/2005,85705,150547
9/30/2005,85705,153909
10/31/2005,85705,155778
11/30/2005,85705,157319
12/31/2005,85705,158247
1/31/2006,85705,157551
2/28/2006,85705,158400
3/31/2006,85705,160573
4/30/2006,85705,162744
5/31/2006,85705,164510
6/30/2006,85705,164945
7/31/2006,85705,165665
8/31/2006,85705,166487
9/30/2006,85705,166662
10/31/2006,85705,166337
11/30/2006,85705,166330
12/31/2006,85705,166154
1/31/2007,85705,166567
2/28/2007,85705,166166
3/31/2007,85705,166896
4/30/2007,85705,167914
5/31/2007,85705,168261
6/30/2007,85705,167582
7/31/2007,85705,166846
8/31/2007,85705,166039
9/30/2007,85705,164485
10/31/2007,85705,163445
11/30/2007,85705,161719
12/31/2007,85705,161666
1/31/2008,85705,160709
2/29/2008,85705,158618
3/31/2008,85705,155451
4/30/2008,85705,152410
5/31/2008,85705,151296
6/30/2008,85705,149514
7/31/2008,85705,147308
8/31/2008,85705,144193
9/30/2008,85705,142232
10/31/2008,85705,140367
11/30/2008,85705,138741
12/31/2008,85705,136721
1/31/2009,85705,135792
2/28/2009,85705,135126
3/31/2009,85705,133339
4/30/2009,85705,131386
5/31/2009,85705,129000
6/30/2009,85705,126631
7/31/2009,85705,123655
8/31/2009,85705,120901
9/30/2009,85705,119372
10/31/2009,85705,118251
11/30/2009,85705,117492
12/31/2009,85705,116743
1/31/2010,85705,114976
2/28/2010,85705,113699
3/31/2010,85705,113005
4/30/2010,85705,113534
5/31/2010,85705,113235
6/30/2010,85705,112150
7/31/2010,85705,110058
8/31/2010,85705,108422
9/30/2010,85705,106615
10/31/2010,85705,104488
11/30/2010,85705,102244
12/31/2010,85705,100869
1/31/2011,85705,101020
2/28/2011,85705,99771
3/31/2011,85705,97873
4/30/2011,85705,95032
5/31/2011,85705,93187
6/30/2011,85705,91078
7/31/2011,85705,88891
8/31/2011,85705,87089
9/30/2011,85705,85381
10/31/2011,85705,84289
11/30/2011,85705,83139
12/31/2011,85705,82155
1/31/2012,85705,81408
2/29/2012,85705,81318
3/31/2012,85705,81832
4/30/2012,85705,82019
5/31/2012,85705,82021
6/30/2012,85705,82104
7/31/2012,85705,82888
8/31/2012,85705,84009
9/30/2012,85705,85571
10/31/2012,85705,86724
11/30/2012,85705,87787
12/31/2012,85705,88604
1/31/2013,85705,89496
2/28/2013,85705,89752
3/31/2013,85705,89647
4/30/2013,85705,89994
5/31/2013,85705,90732
6/30/2013,85705,92201
7/31/2013,85705,93573
8/31/2013,85705,94998
9/30/2013,85705,95956
10/31/2013,85705,96993
11/30/2013,85705,97511
12/31/2013,85705,98028
1/31/2014,85705,98373
2/28/2014,85705,99525
3/31/2014,85705,99621
4/30/2014,85705,99691
5/31/2014,85705,99248
